Date,AAPL,MSFT,INTC,YHOO,AMZN,TGT,WBA,M,KSS,BBY,PLKI,PRLB
8/4/2016,-0.92,0.42,0.33,0.53,6.13,0.04,0.25,0.26,0.13,0.04,-0.4,0.45
8/3/2016,0.6,0.39,-0.31,-0.18,-5.94,0.21,0.65,0.67,0.85,0.55,0.28,0.87
8/2/2016,-0.89,0,-0.29,-0.23,-7.16,-1.62,-0.32,-2.56,-3.27,-0.61,-0.44,-1.18
8/1/2016,1.42,-0.1,-0.01,0.61,8.93,0.18,0.02,-0.51,-0.45,-0.13,0.24,0.64
7/29/2016,0.79,0.47,0.09,-0.33,6.2,0.54,-0.21,-0.04,0.56,0.32,-0.09,1.75
7/28/2016,1.75,0.02,-0.06,-0.14,15.94,-0.46,-0.48,0.17,0.33,0.14,0.16,-8.04
7/27/2016,5.4,-0.57,-0.26,-0.1,1.08,-0.97,-1.39,-1.12,-0.35,-0.05,-0.16,0.68
7/26/2016,0.47,0.03,0.4,0.44,-4.02,-0.08,-0.24,0.36,0.89,0.72,-0.94,0.97
7/25/2016,-0.13,0.16,0.03,-1.06,-5.25,1.38,0.22,1.18,0.69,0.33,-0.67,0.2
7/22/2016,0.34,0.77,0.39,0.53,0.43,0.58,-0.35,-0.21,-0.04,-0.14,1.28,0.66
7/21/2016,0.01,-0.11,-1.42,-0.05,-1.29,-0.14,-0.81,0.19,-0.07,0.49,0.33,-0.54
7/20/2016,0.04,2.82,0.54,0.73,5.77,0.53,0.3,0.43,0.61,0.1,0.85,0.93
7/19/2016,0.23,-0.87,0.1,0.22,3.88,-0.01,-0.57,-0.38,-0.09,-0.29,0.62,-2.02
7/18/2016,0.42,0.26,-0.02,0.23,0.63,0.92,0.27,0.57,0.45,0.6,0.25,-0.05
7/15/2016,0.27,-0.04,-0.13,-0.24,-5.76,-0.45,-1.27,-0.15,0,-0.38,-0.05,0.28
7/14/2016,0.43,0.23,0.19,0.32,-1.43,0.32,2.01,-0.25,0.11,0.36,-0.21,-0.44
7/13/2016,-0.4,0.3,0.07,-0.25,-5.58,-0.35,0.55,-0.57,-1.26,-0.13,-0.48,-0.04
7/12/2016,0.97,0.62,0.56,-0.07,-5.57,0.98,-0.79,0.79,0.28,0.28,-0.06,0.91
7/11/2016,0.37,0.29,0.38,0.22,7.97,1.23,0.21,0.5,0.19,0.3,1.62,0.51
7/8/2016,0.78,0.92,0.8,0.22,9.24,1.22,1.3,0.75,1.04,0.35,1.33,1.78
7/7/2016,0.57,0,0.23,0.01,-1.04,-0.42,-1.05,0,0.49,-0.03,-0.21,1.4
7/6/2016,0.11,0.21,0.29,0.01,9.51,0.77,-1.97,0.51,1.02,0.27,-0.08,-0.21
7/5/2016,-0.56,0.01,-0.07,-0.49,2.42,-0.31,0.46,-0.5,-1.22,-1,-0.34,-0.92
7/1/2016,0.05,-0.01,-0.05,0.43,10.06,0.23,-0.21,-0.01,0.04,0.76,-0.51,-0.33
6/30/2016,0.99,0.63,0.87,0.7,0.02,-0.18,0.08,0.29,0.18,0.1,0.37,1.23
6/29/2016,0.82,1.1,0.74,0.82,7.65,0.26,3.31,0.89,0.13,0.48,0.04,0.75
6/28/2016,0.93,1.01,0.47,0.82,16.59,0.29,0.49,0.72,1.11,0.65,0.25,0.13
6/27/2016,-1.09,-1.4,-0.83,-1.02,-7.6,0.1,-2.39,-0.37,0.34,-0.78,-1.33,-0.84
6/24/2016,-2.51,-2.08,-1.44,-1.54,-23.12,-0.43,-3.28,-1.3,-1.36,-0.28,0.14,-3.46
6/23/2016,0.98,0.92,0.7,0.42,11.48,0.92,1.32,0.57,0.73,0.38,0.72,0.65
6/22/2016,-0.21,-0.2,-0.03,-0.04,-5.22,0.56,0.54,-0.23,-0.05,-0.01,-0.42,-0.56
6/21/2016,-0.01,1.12,0.15,0.11,1.81,0.31,0.27,-0.17,0.2,-0.32,-0.27,-1.73
6/20/2016,0.44,-0.06,0.41,0.35,7.62,0.49,0.28,-0.02,0.29,0.08,0.24,0.34
6/17/2016,0.21,-0.26,0.07,-0.45,-11.12,0.52,-0.5,0.88,1.3,0.63,-0.86,-0.56
6/16/2016,-0.35,0.7,0.08,0.07,3.25,-0.29,-0.06,0.41,-0.14,0.33,-0.56,-0.07
6/15/2016,-0.31,-0.14,-0.53,-0.08,-5.04,0.53,-1.13,0.63,0.7,0.17,-0.85,0.21
6/14/2016,0.1,-0.31,-0.03,0.93,4.06,-0.15,-0.02,-0.29,-0.83,-0.17,-0.18,-0.67
6/13/2016,-0.08,-1.34,0.13,-0.36,-2.67,-0.99,1.89,-1.64,-1.48,-0.1,-1.08,-1.53
6/10/2016,-0.73,-0.14,0.1,-0.52,-9.74,0.19,3.46,-0.36,-0.64,-0.66,-0.67,-2.94
6/9/2016,0.02,-0.42,0.05,0.38,1.01,-0.93,-0.43,-0.66,-0.71,-1.32,-0.08,-0.94
6/8/2016,0,-0.06,0.01,0.24,2.9,0.38,0.32,-0.06,0.11,-0.17,0.72,-0.32
6/7/2016,0.43,-0.03,0.2,-0.34,-2.99,-0.57,0.46,0.04,0.7,0.26,-0.2,0.09
6/6/2016,0.41,0.34,0.06,0.47,1.19,0.16,-0.02,-0.05,-0.71,-1.02,0.24,0.34
6/3/2016,-0.42,-0.69,-0.14,-0.55,-2.7,0.33,-0.42,-0.02,0.67,-0.11,0.08,0.19
6/2/2016,0.49,-0.37,0.1,0.5,8.8,-0.09,1,1.32,1.21,0.24,0.54,1.34
6/1/2016,-0.21,-0.15,0.07,-1.29,-3.35,-0.37,0.7,-0.18,0.13,0.05,-0.32,0.11
5/31/2016,0.81,0.68,0.02,0.12,10.55,-0.12,0.4,0.49,-0.07,0.14,0.83,3.07
5/27/2016,0.26,0.43,0.08,1.06,-2.67,-0.01,0.22,1.15,0.54,0.08,2.82,-0.54
5/26/2016,0.16,-0.23,0.1,1.17,6.56,-0.37,-0.85,-0.24,-0.32,-0.12,2.33,0.2
5/25/2016,0.16,0.53,0.33,-1.94,4.15,0.59,0.48,0.62,0.5,1.52,-0.24,0.77
5/24/2016,0.68,1.56,0.83,0.87,7.45,0.76,0.62,-0.1,-0.2,-2.45,0.47,1.18
5/23/2016,0.16,-0.59,0.08,0.16,-6.05,-0.73,-0.69,0,-0.26,0.66,-0.38,0.49
5/20/2016,0.47,0.3,0.52,-0.52,4.28,1.6,1.01,0.42,0.91,0.81,0.45,0.57
5/19/2016,-0.12,-0.49,-0.36,-0.22,1.07,-0.94,-0.33,0.8,0.38,0.78,-0.34,-1.24
5/18/2016,-0.12,0.3,0.01,-0.03,2.18,-5.61,0.06,-0.33,-0.66,-1.14,0.5,0.1
5/17/2016,-0.36,-1.32,-0.41,-0.21,-15.39,-1,-2.39,-0.33,-0.99,0.17,-0.45,-0.4
5/16/2016,0.41,0.75,0.48,1,0.74,0.73,0.26,-0.49,0.47,0.77,0.17,0.66
5/13/2016,-0.16,-0.43,0.15,-0.55,-8.01,-1.72,-1.26,0.01,0.59,-0.3,-0.42,-0.63
5/12/2016,-0.11,0.46,-0.3,-0.34,4.7,-0.1,-0.36,-0.17,-3.55,-0.28,0.43,0.86
5/11/2016,-0.55,0.03,-0.08,-0.07,10.16,-4.35,-0.69,-5.61,-2.48,-1.44,-2.5,0.35
5/10/2016,0.42,0.95,0.34,0.26,23.32,0.12,0.03,-0.75,-0.99,0.31,-0.3,0.51
5/9/2016,-0.43,-0.32,-0.24,-0.05,5.8,1.19,1.46,0.09,0.8,0.68,1.62,0.06
5/6/2016,-0.22,0.45,0.14,0.29,14.86,0.61,-2.03,-0.25,-0.29,0.37,-0.67,0.45
5/5/2016,-0.22,0.07,0.05,0.94,-11.81,-1.58,-0.03,-0.78,-0.78,0.11,-0.19,-0.62
5/4/2016,-1,0.09,-0.51,-0.01,-0.42,-0.28,0.03,-0.81,-1.44,-0.24,-0.09,-0.5
5/3/2016,-0.73,-0.83,-0.25,-0.52,-12.53,-0.13,0.9,-0.42,-1.19,-0.53,-0.33,-0.5
5/2/2016,0.38,0.74,0.33,-0.07,24.26,0.62,1.28,0.32,0.77,0.19,0.65,1.13
4/29/2016,-0.63,-0.03,-0.83,0.01,57.59,-1.83,-1.065,-1.01,-1.21,-0.57,-0.23,-3.81
4/28/2016,-0.62,-1.04,-0.64,-0.36,-4.57,-1.96,-1.215,-0.41,-0.47,-0.83,0.09,-17.68
4/27/2016,1.59,-0.5,0.35,-0.16,-10.31,0.69,0.25,0.47,0.22,0.33,-0.74,0.83
4/26/2016,0.21,-0.67,0.01,-0.12,-9.32,0,0.92,0.21,0.8,0.68,0.83,1.13
4/25/2016,-0.63,0.33,-0.25,-0.25,5.7,0.27,0.25,-0.63,-0.5,-0.75,-1.66,-2.14
4/22/2016,0.47,-4,-0.33,-0.19,-10.5,-0.42,-0.42,-0.59,0.03,0.36,0.57,1.64
4/21/2016,-0.65,0.19,-0.03,-0.17,-1.99,-0.12,-0.57,0.19,-0.7,-0.26,1.09,0.26
4/20/2016,0.29,-0.8,0.4,1.51,5.09,-1.11,-0.71,0.21,1.28,0.22,0.6,-0.29
4/19/2016,0.33,-0.07,-0.05,-0.19,-7.45,0.56,0.59,0.43,0.76,0.12,-1.12,0.4
4/18/2016,0.04,0.81,0.19,0.01,9.46,0.82,-0.19,0.08,0.72,0.38,0.4,1
4/15/2016,0.14,0.29,-0.34,-0.66,5.14,0.82,0.18,0.98,0.47,0.07,1.18,-1.37
4/14/2016,-0.23,0.01,-0.33,-0.14,5.93,0.22,0.18,-0.67,-0.35,0.17,-0.16,1.24
4/13/2016,1.9,0.7,0.27,0.65,11.65,0.78,-0.23,0.26,0.57,1.34,0.38,1.41
4/12/2016,0.48,0.34,0.19,0.18,7.24,1.01,0.16,0.25,0.14,0.28,0.06,1.17
4/11/2016,0.31,-0.11,0.04,0.41,1.33,-1.11,-0.22,0.14,-0.83,0.43,0.1,-1.08
4/8/2016,0.06,-0.04,0.08,-0.1,3.17,-0.69,0.07,-0.94,-0.62,-0.11,-0.16,-0.15
4/7/2016,-0.45,-0.66,-0.53,-0.49,-10.65,-0.6,-2.39,-0.95,-0.87,-0.93,-0.62,-1.77
4/6/2016,-0.03,0.56,0.18,0.25,15.94,0.07,0.33,0.1,-0.05,-0.07,0.24,1.52
4/5/2016,0.04,-0.87,-0.1,-0.61,-7.05,-0.2,-2.95,-0.69,-0.19,-0.68,-0.34,0.05
4/4/2016,0.32,-0.14,-0.45,0.54,-5.31,-0.46,-0.39,-0.8,-0.64,-0.22,0.6,-0.37
4/1/2016,-0.27,0.34,0.1,-0.33,4.86,0.48,2.46,-1.13,-0.87,-0.32,0.59,0.75
3/31/2016,0.1,0.18,-0.36,0.25,-5.05,-1.32,0.61,-0.01,0.56,0.87,0.28,-1.08
3/30/2016,0.37,0.34,0.33,0.24,4.83,0.63,0.61,-0.32,-0.5,-0.13,-0.4,-0.02
3/29/2016,0.39,1.17,0.48,1.09,13.99,0.17,0.23,0.04,-0.24,0.32,1.24,2.58
3/28/2016,0.13,-0.67,0.02,0.37,-3.08,0.76,0.46,0.9,0.86,0.09,-0.13,-0.52
3/24/2016,-0.36,0.24,-0.12,0.06,13.32,0.54,-0.01,0.06,-0.78,-0.13,0.98,0.38
3/23/2016,-0.64,-0.1,-0.32,-0.61,9.15,-0.2,-0.46,-0.36,-0.36,-0.36,-0.73,-1.53
3/22/2016,0.06,0.21,-0.02,-0.06,6.5,-0.5,-0.75,-0.37,-0.84,-0.43,-0.24,-0.59
3/21/2016,0.28,0.37,-0.34,0.3,1.9,-0.51,-0.39,-0.72,-0.26,-0.31,-0.57,1.28
